SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
5174,Trader Joe's 2lb Gala Organic,15302,160000,0.22,195200,29.75,3,9.916666667,1,9.75,14.5,0,1.5,0,30.5,11.88362246,132222.2222,1901.379594,862.4601259,161311.1111,2319.683104,1052.201354,"L/LDPE Bag Film - General, clear",1.18
5175,Independent 3lb (Pears),15380,160000,0.22,195200,18.5,2,9.25,1,9,16.375,0,2,0,34.75,12.62931609,123333.3333,2020.690574,916.5792315,150466.6667,2465.2425,1118.226662,"L/LDPE Bag Film - General, clear",1.18
5176,USA Pears 3lb (NWW),15397,500000,0.2,600000,29.25,3,9.75,1,9.5,16.25,0,2,0,34.5,13.21621217,406250,6608.106083,2997.417256,487500,7929.7273,3596.900708,"L/LDPE Bag Film - General, high clarity",1.18
5177,Chelan Fresh 3lb Ambrosia,15428,150000,0.25,187500,32.25,3,10.75,1,10.5,16.25,0,2,0,34.5,14.57172111,134375,2185.758166,991.4534002,167968.75,2732.197708,1239.31675,"L/LDPE Bag Film - General, clear",1.18
5178,Generic Celery Sleeves Mexico,15427,350000,0.2,420000,22.25,3,7.416666667,1,7.25,16.5,3,1.5,0,37.5,10.18671128,216319.4444,3565.348949,1617.231674,259583.3333,4278.418739,1940.678009,"L/LDPE Bag Film - General, clear",1.1
5179,Aldi's 2lb/0.91kg Honeycrisp (Chelan),15306,100000,0.25,125000,29.75,3,9.916666667,1,9.75,14.5,0,1.75,0,30.75,11.9810292,82638.88889,1198.10292,543.4559195,103298.6111,1497.62865,679.3198994,"L/LDPE Bag Film - General, clear",1.18
5180,Stemilt 3lb Pinata Apples,15429,200000,0.25,250000,21.5,2,10.75,1,10,16.25,0,2,0,34.5,14.57172111,179166.6667,2914.344221,1321.937867,223958.3333,3642.930277,1652.422334,"L/LDPE Bag Film - General, clear",1.18
5181,Walmart 5lb Red (NuPlastiq),15359,250000,0.22,305000,34.5,3,11.5,1,11,19.875,0,2,0,41.75,18.86416608,239583.3333,4716.041521,2139.182401,292291.6667,5753.570656,2609.802529,Bag Film-General-BioResin,1.18
5182,Walmart 3lb Honeycrisp (Biologiq),15352,250000,0.22,305000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,211805.5556,3445.25189,1562.756005,258402.7778,4203.207305,1906.562327,Bag Film-General-BioResin,1.18
5183,Starr Ranch Apples No Wt (5/6lb),15363,500000,0.22,610000,24.25,2,12.125,1,12,19.875,0,2,0,41.75,21.91204259,505208.3333,10956.02129,4969.618658,616354.1667,13366.34598,6062.934763,"Bag Film - General, clear",1.3
